"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significance"
"227921_at",1.75748185190645,-0.172747642258218,11.0860841385965,1.94359931704751e-21,4.24216737163963e-20,37.9904458812841,"Up"
"1559067_a_at",-1.22337403503044,0.0778028239065993,-11.085600740081,1.94948510940148e-21,4.25331597591884e-20,37.987445546201,"Down"
"220108_at",-1.3406421179476,0.116609610830169,-11.0834601463928,1.97576331312449e-21,4.3072112896763e-20,37.9741595899539,"Down"
"229934_at",-1.07804585392884,0.0736963597922009,-11.0832094528702,1.97886390398942e-21,4.31225125351221e-20,37.9726036374499,"Down"
"241460_at",-1.0518387167135,0.0446841864183103,-11.0806372453423,2.01095912571524e-21,4.38044582464066e-20,37.9566392265284,"Down"
"232555_at",-1.10404045177539,0.0365127412755999,-11.0781580713503,2.04238530394827e-21,4.4471292908551e-20,37.941252630357,"Down"
"213050_at",-1.81235872305894,0.0731181911176857,-11.074425863301,2.0906221946094e-21,4.54672905689217e-20,37.9180900249821,"Down"
"212647_at",-1.13669135949789,0.0961157478560158,-11.073928739818,2.09713253119721e-21,4.5590743993323e-20,37.9150048748688,"Down"
"205392_s_at",-1.9605256807986,0.19162942863967,-11.0722095404446,2.11980364152584e-21,4.60286990073174e-20,37.9043356404567,"Down"
"204796_at",-1.62335465132781,0.0510285044225838,-11.0703720070936,2.14430584557637e-21,4.65237786138444e-20,37.8929322447289,"Down"
"232286_at",-1.53401084273356,0.0725544184260355,-11.0647557486996,2.22096149958365e-21,4.81105665569477e-20,37.8580801298607,"Down"
"204872_at",-1.05066597765702,0.0862505680837032,-11.0641170393992,2.22985064168318e-21,4.82839935976348e-20,37.8541167009504,"Down"
"214641_at",-1.77851357839625,0.142035723977235,-11.0621565370055,2.25735811636146e-21,4.87830256964674e-20,37.8419512199353,"Down"
"209231_s_at",1.03354918759837,-0.0696147121895135,11.0599955521988,2.2880712361454e-21,4.94272204015211e-20,37.8285419783601,"Up"
"207239_s_at",1.07207706190695,-0.0667944955957018,11.0566511010968,2.33642900330471e-21,5.04120977725671e-20,37.8077897489737,"Up"
"236577_at",-1.58775337071068,0.130620740794707,-11.0558769334669,2.34776743661845e-21,5.06367592099067e-20,37.8029861639832,"Down"
"204777_s_at",-1.5613398670411,0.105913184354331,-11.0557565020024,2.34953620308769e-21,5.06549258295818e-20,37.8022389097464,"Down"
"203083_at",2.22850207862982,-0.0447560200364481,11.0542411250745,2.37190644201934e-21,5.11170613785603e-20,37.7928363666327,"Up"
"202291_s_at",-1.42585489716895,0.143581608744247,-11.0523962798711,2.39942757842586e-21,5.1649095610407e-20,37.7813897570082,"Down"
"231478_at",-1.20300913902089,0.0499203533442225,-11.0490619327213,2.44998027445872e-21,5.26957795066998e-20,37.7607018846163,"Down"
"223255_at",1.06115135897196,-0.0664937958176364,11.0486279650313,2.45663747964174e-21,5.2818188831857e-20,37.758009396962,"Up"
"209357_at",-1.4166849783901,0.137186683411202,-11.0454409469637,2.50608391489462e-21,5.38178075596479e-20,37.7382364007933,"Down"
"200862_at",-1.18431607359183,0.139854198875082,-11.0436632176704,2.53409575323846e-21,5.437664258568e-20,37.7272072494845,"Down"
"202468_s_at",-1.18197516598232,0.054561679576882,-11.0432241560714,2.54106209015649e-21,5.45047351036901e-20,37.7244833142196,"Down"
"214095_at",1.17752402402296,-0.0778757332208251,11.0427622021269,2.54841228985462e-21,5.46409576265889e-20,37.721617368787,"Up"
"218309_at",-1.69936031305135,0.0852494382200444,-11.0393202966957,2.60384927643234e-21,5.57639871480368e-20,37.7002643587717,"Down"
"1563573_at",-1.0492270049252,0.0654020883807117,-11.0332072054807,2.70529452075425e-21,5.7823290821829e-20,37.6623416989665,"Down"
"216944_s_at",-1.11829400291778,0.0791696801931295,-11.0321256420154,2.72364931508541e-21,5.81928590473993e-20,37.6556324622716,"Down"
"226930_at",2.31039691343022,-0.0833995490617604,11.029883909432,2.76208977224932e-21,5.89220672250221e-20,37.6417266255944,"Up"
"1555938_x_at",-1.70915705635235,0.120922104684993,-11.0186853111212,2.96238460457393e-21,6.30717983859345e-20,37.5722649311956,"Down"
"1555083_at",-1.24735754275492,0.0596583258620973,-11.0182245316631,2.97092961807708e-21,6.32045046180406e-20,37.5694070295224,"Down"
"239847_at",-1.49820611347358,0.0470289722483974,-11.0166671283301,2.99999375197336e-21,6.37731953301491e-20,37.5597476219923,"Down"
"242496_at",-1.38600885400937,0.077138767276093,-11.0125525647751,3.07815236931486e-21,6.54092424377341e-20,37.5342288543416,"Down"
"208613_s_at",1.05140765540323,-0.0659587841033448,11.0078475562764,3.17002134718247e-21,6.7256855707102e-20,37.505049523119,"Up"
"215806_x_at",-1.77190701283106,0.160966301314226,-11.0071479035214,3.18391445943629e-21,6.75254162411479e-20,37.5007105739108,"Down"
