"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","47/1157","203/9378",0.231527093596059,1.87663015016754,4.73693798692355,1.11211205502587e-05,0.000335703435902622,0.000263236561485809,"857/8516/3672/2013/7450/5906/131873/6696/858/8395/2012/5923/896/53358/2534/5728/3082/3913/1285/1277/4660/5295/3791/5747/1286/256076/3680/5579/1278/7058/2317/3908/3910/10319/5058/22801/5062/10398/330/3725/7057/5228/394/3691/7422/7143/1311",47
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","29/1157","103/9378",0.281553398058252,2.28211561537622,4.90823283265919,1.16766412487868e-05,0.000335703435902622,0.000263236561485809,"2776/7099/3913/1285/1277/5295/2920/3554/5747/1286/5579/1278/3908/3684/3910/1281/2921/7097/10319/911/3569/3553/732/2778/384/5275/6318/6317/2919",29
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","28/1157","99/9378",0.282828282828283,2.2924491239098,4.84972127973131,1.49949385933906e-05,0.000397942601132289,0.000312040422550719,"1675/6403/5648/728/717/6404/3684/3108/3383/3115/2357/3113/3111/2215/3122/3075/718/727/3868/3866/2358/713/712/3861/3119/2266/3860/3117",28
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","28/1157","101/9378",0.277227722772277,2.24705409175317,4.72692284549174,2.25382708211995e-05,0.000555407388093845,0.000435513954966035,"177/7048/5581/185/7056/51196/1019/1285/1277/5295/5590/1286/5579/1278/1281/4772/1906/6347/3383/5336/50507/3569/6401/3725/3553/1536/7422/6772",28
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","22/1157","75/9378",0.293333333333333,2.37759723422645,4.49342706440123,6.60699226700287e-05,0.00151960822141066,0.00119157685096122,"9133/891/6241/983/51512/1111/896/898/5728/1019/355/3486/27244/9134/64065/1029/4616/11200/5268/5366/143686/7057",22
"Cellular Processes","Transport and catabolism","hsa04145","Phagosome","36/1157","155/9378",0.232258064516129,1.88255499484206,4.15630907376417,0.000108036255846526,0.00232953176669071,0.0018266656416156,"23673/948/8685/3133/4360/6441/4973/81035/4481/7099/4688/23545/203068/3920/7058/3684/7097/5289/81027/64581/3108/4689/1781/3115/347733/3113/3111/2215/3122/718/7057/1536/1780/3119/1311/3117",36
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","26/1157","100/9378",0.26,2.10741573033708,4.17657050788404,0.000141149815495061,0.00258602095906482,0.0020277876017686,"51554/5473/1524/3570/3572/6368/2920/3579/8809/8807/2921/10563/1435/6347/6376/6387/1230/5196/3569/53832/8743/53833/9547/6374/2919/4283",26
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","59/1157","299/9378",0.197324414715719,1.59940221365948,3.95158421564612,0.000141855034616499,0.00258602095906482,0.0020277876017686,"58494/6586/54538/6711/342035/10580/5906/90952/9353/4008/9693/10096/5376/3384/4628/2534/5588/57513/6092/4629/3937/2037/9046/117178/5295/9223/7082/91768/4916/3791/5747/5362/4690/203068/5579/7225/3684/84612/9863/5058/81027/5062/287/23114/23705/3383/10398/56253/5336/347733/5789/8829/26047/23136/1000/5803/2244/57823/2266",59
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","36/1157","157/9378",0.229299363057325,1.85857340255107,4.06981397803993,0.000142418545571686,0.00258602095906482,0.0020277876017686,"177/1901/948/5175/6513/240/961/1524/488/5627/817/5468/2621/5734/1788/10326/10396/23200/5747/100133941/4772/834/5732/51761/6376/64805/7057/6566/713/23250/5743/4773/9023/712/384/1846",36
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","47/1157","224/9378",0.209821428571429,1.70069607358933,3.98184685217257,0.000151413631042977,0.00261188513549135,0.00204806858831816,"9133/991/4085/7048/4215/701/6513/890/3133/115/9232/1111/8850/896/9700/898/7538/2114/5728/1019/6929/9184/5295/9134/3554/1029/11200/2353/9586/4772/5902/3108/3383/1030/3115/3569/4792/3113/3111/8829/3725/1959/3122/1739/4773/3119/3117",47
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","33/1157","142/9378",0.232394366197183,1.88365978063715,3.98037153856619,0.000203644565424722,0.00295162949799245,0.00231447377874618,"7048/488/126014/5468/2534/1540/11027/3937/4688/2354/4286/3708/10326/7305/5295/695/3554/9846/2353/9021/54/4772/1435/10288/4689/5336/4792/3725/2215/2274/3553/4773/6772",33
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","33/1157","142/9378",0.232394366197183,1.88365978063715,3.98037153856619,0.000203644565424722,0.00295162949799245,0.00231447377874618,"1003/857/5175/858/659/10365/1843/7056/2949/4688/5295/5590/3791/3554/5747/2353/2947/4208/1906/4318/6347/3383/1728/6385/6382/6383/6401/3725/810/3553/3162/7422/2952",33
